,Date,Tweet
0,2020-12-15 16:31:28+00:00,b'Apakah mimpi hanya untuk sukses?? Bisakah berubah hanya untuk menjadi seseorang? #StartUpEp10 #NamDoSan'
1,2020-12-05 16:54:42+00:00,b'He wins a knife fight - but loses something else. Read our latest story at https://t.co/VqaAbdPJvd.'
2,2020-12-13 13:35:50+00:00,b'saha &amp; chulsan so cute pls akshsga #StartUpEp10'
3,2020-12-13 05:25:43+00:00,b'\xe2\x80\x9cternyata kebohongan yg baik itu ..\nmemang tidak ada ..\nbagimana sebuah kebohongan itu baik?\nhal itu pasti melukai seseorang\xe2\x80\x9d\n\n#StartUpEp10'
4,2020-12-12 10:09:34+00:00,"b'Do-san \n\nTerkadang aku berpikir. pada musim semi tahun itu,\nAku kehilangan banyak hal. Jika tak ada suratmu? Bagaimana jadinya musim semiku? Aku pasti akan lebih menyesali bunga yang gugur daripada bunga yang bermekaran.\n\n#StartUpEp10\n#jipyeong https://t.co/YXlGC6vgW6'"
5,2020-12-12 06:20:53+00:00,b'Han Ji-pyeooooonggggg!!!\n\n#StartUpEp10 \n#StartUp\n#KimSeonHo \n#HanJiPyeong https://t.co/c1dEwUzLLu'
6,2020-12-12 04:03:08+00:00,b'Napaka galing ni Nam Joo Hyuk umarte :((((  #StartUpEp10'
7,2020-12-09 02:52:42+00:00,b'*Baru pake skincare*\n\n#StartUpEp10 ; jangan nangis jangan nangis jangan nangis jangan nangis https://t.co/FpvxMZQRuc'
8,2020-12-07 17:35:08+00:00,b'ternyata kebohongan yg baik itu ..\nmemang tidak ada ..\nbagimana sebuah kebohongan itu baik?\nhal itu pasti melukai seseorang\n#StartUpEp10\n#neneseoldalmi'
9,2020-12-06 16:22:53+00:00,b'Hidup menjadi kebanggaan seseorang adalah hal sulit. Harus sembunyikan banyak hal karena takut mengecewakan. Harus pura-pura hebat dan baik-baik saja. -Dosan #StartUpEp10'
10,2020-12-05 17:15:38+00:00,b'baru nonton #StartUpEp10 dan sudah kuputuskan jadi tim #NamDoSan&lt;3'
11,2020-12-05 16:56:27+00:00,b'sama skali ga bisa paham dan sampai sekarang pun menolak untuk paham plot hole yang udah terlanjur dibikin writernim. #startupEp9 cukup jadi ending tersendiri bagi gua. #StartUpEp10 ke atasnya gua ga mau paham.'
12,2020-12-04 20:18:40+00:00,b'Di ko kaya tong si Good boy. Dali kausap. Ayaw maging torpe. Gusto nya si Dal mi eh di sinabi nya kagad. #StartUpEp10'
13,2020-12-01 23:22:22+00:00,b'Kaliam tim mana?!??? Han Ji peyong atau nam do san? Hah? hah? hah? Aku tim Pak Han!!\xf0\x9f\x98\xad #StartUpEp10 https://t.co/7aFBbLRX05'
14,2020-12-01 17:41:40+00:00,b'hhhh.. cape bgt liat Do San nangis \xf0\x9f\x98\xa9 #StartUpEp10'
15,2020-12-01 17:17:21+00:00,b'NAM \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb JOO \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb HYUK!!! \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb \xf0\x9f\x98\xad\xf0\x9f\x92\x94 #StartUpEp10 https://t.co/ZghpxAJy1f'
16,2020-12-01 16:28:00+00:00,b'#startupEp10 big theme: the effort\n.\naka lg berusaha dapetin wkwkwkw effort meternya lebih dr 100% sih.. seru pol gamau ah jd cenayang ending'
17,2020-11-29 17:32:40+00:00,b'Haihh kesian pulak kt dosan nii huhu bukan dia mintk nk jadi camtu aghh ape2 pon aku tetap team ji pyeong yeahh! \n#StartUpEp10'
18,2020-11-29 15:17:52+00:00,"b'Scene ini mengajarkan1 hal lain yg dapat dipetik (diluar mengenai startup, ataupun perihal bisnis). Klw cewek tu sebenarnya gk matre sih cuman berpikir secara realistis aja \xf0\x9f\x98\x82\n#StartUpEp10 https://t.co/mmeOAJKC77'"
19,2020-11-29 07:32:21+00:00,b'Punya blazer yang mirip sama Seo Dal Mi di #StartUpEp10 https://t.co/FEZa6I4B1m'
20,2020-11-28 17:56:35+00:00,b'Pochajjang goes internasional gaes. Ga mau di indonesia lagi. \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad#StartUpEp10 https://t.co/jj76tkJicY'
21,2020-11-28 11:32:02+00:00,"b'Gak bisa dipungkiri #StartUpEp9 dan #StartUpEp10 adalah the darkest episode ever, sampe susah dapet moment senyum damagenya Dal Mi, karena banyak sedihnya :\xe2\x80\x99)'"
22,2020-11-28 07:31:31+00:00,"b'ga kuat liat pak Han menderita terus \xf0\x9f\x98\x94\xf0\x9f\x98\x94\xf0\x9f\x98\x94\xf0\x9f\x98\x94\xf0\x9f\x98\x94\xf0\x9f\x98\x94\xf0\x9f\x98\x94\xf0\x9f\x98\x94\xf0\x9f\x98\x94\xf0\x9f\x98\x94\xf0\x9f\x98\x94\xf0\x9f\x98\x94\xf0\x9f\x98\x94\xf0\x9f\x98\x94\xf0\x9f\x98\x94\xf0\x9f\x98\x94\xf0\x9f\x98\x94\xf0\x9f\x98\x94\xf0\x9f\x98\x94\xf0\x9f\x98\x94\xf0\x9f\x98\x94 plis mau nolong \xf0\x9f\x98\x94\xf0\x9f\x98\x94\xf0\x9f\x98\x94\n\n*masih tahan di #StartUpEp10, gatau 5 menit lagi udah pencet next episode apa gak.'"
23,2020-11-28 05:09:56+00:00,"b'Heh, yakin a awakmu? Oleng nang #StartUpEp10 ngono https://t.co/7idQEMY8oH'"
24,2020-11-26 07:58:12+00:00,"b'#StartUpEp10 \nNangiss, relate bgt ke realita woii\xf0\x9f\x98\xad\xf0\x9f\x98\xad https://t.co/E2BpJH31Rq'"
25,2020-11-25 13:52:53+00:00,b'@wraitheIaIvez #StartUp #StartUpEp1 #StartUpEp2 #StartUpEo3 #StarrUpEp4 #StartUpEp5 #StartUpEp6 #StartUpEp7 #StartUpEp8 #StartUpE9 #StartUpEp10 #StartUpEp11 #StartUpEp12 #StartUpEp13 #HanJipyeong #seonho HHAHSHSHSSHAHW'
26,2020-11-24 15:22:39+00:00,b'Penyesalan selalu datang belakangan\n\n#StartUpEp10 #StartUp #jipyeong https://t.co/ZyhA9AcRKK'
27,2020-11-24 14:43:11+00:00,b'Itu Lo gaes yg janggal\n#StartUp\n#StartUpEp10 https://t.co/QSIkruYb38'
28,2020-11-24 14:38:46+00:00,b'Kalian ada yang merasa janggal gak di eps.10 startup antara menit 43 an\n#StartUpEp10'
29,2020-11-24 13:07:39+00:00,b'Aku ngrasain banget sakit hati nya. \xf0\x9f\xa5\xba\xf0\x9f\x98\xad Aku tetap padamu #TimDoSan #StartUpEp10 https://t.co/fqAb87bZIO'
30,2020-11-24 11:51:31+00:00,b'Hidup menjadi kebanggaan seseorang adalah hal sulit\nHarus menyembunyikan banyak hal karena takut mengecewakan \nHarus pura-pura hebat juga baik-baik saja #StartUpEp10'
31,2020-11-23 20:57:49+00:00,"b'#StartUpEp10 demo day, udh menang tapi malah kemakan omongan si alex. bnr kan feeling gue dia licik ternyata bnr!!\xf0\x9f\x99\x82 kdg ksl sm trio samsan tuh pd ga percaya bgt sm hantimjangnim, pdhl omongan dia bener semua huft'"
32,2020-11-23 16:28:52+00:00,"b'Harta, tahta, orang sunda \xf0\x9f\x98\x85\xf0\x9f\xa4\xa3 rangkin 1\n\n#StartUpEp11 #StartUpEp10 #StarUpep12 #Jipyeong #SeonHo #seonhokim #TikTokviral #dramakorea https://t.co/NDqyLe3yRL'"
33,2020-11-22 15:29:48+00:00,b'na beat ata ng #StartUpEp12 ang iyak ko sa #StartUpEp10'
34,2020-11-22 13:36:07+00:00,b'Emangsih sedih banget .... \n\n#TeamNamDoSan #StartUpEp10 https://t.co/sGsSQ9xxEt'
35,2020-11-22 13:31:42+00:00,"b'Bicara mengenai drama #Startup selama nonton sampai eps #StartUpEp10 dan skrg #StartUpEp11 memang untuk karakter Dosan, gue nggak suka. Karena dia itu egois. Tpi karakter Dosan ini bkin kita belajar jugaaa... di real life ada juga org kyk gini...'"
36,2020-11-22 12:27:56+00:00,b'HELP RT\n[OPEN PO] START UP KDRAMA SANDBOX REPLICA ID SET\n\nPRE-ORDER VIA SHOPEE\n\nINDONESIA: https://t.co/tgjpfVfIqp\nMALAYSIA:\nhttps://t.co/WeGtQUgYL8\nPHILIPPINES\nhttps://t.co/bw4AENPaeA\nSINGAPORE:\nhttps://t.co/mzpXWfLWgR\n\n#startup #StartUpEp9 #StartUpEp11 #StartUpEp10 Pak Han https://t.co/LBzssPxULr'
37,2020-11-22 09:02:27+00:00,"b'Ini relate banget. Apalagi buat orang2 yang selalu dipandang ""lo kan pinter, lo anak pertama, lo harus bisa semuanya, pokonya lo gaboleh ngeluh gaboleh jatuh gaboleh ngecewain orang2."" Ironis. Padahal manusia punya titik batas yg ga bisa dituntut selalu sempurna.\n#StartUpEp10 https://t.co/Kn2opPdeqa'"
38,2020-11-22 05:09:59+00:00,b'Nonton eps.10 emng harus nyiapin mental huhu gakuad #StartUpEp10'
39,2020-11-22 05:02:27+00:00,b'Aaaaa Pak Han menyatakan yg sejujurnya \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d #StartUp #StartUpEp10 https://t.co/4evjxMDPZR'
40,2020-11-22 04:07:53+00:00,b'Luv bgt Jipyeong \xf0\x9f\x98\xad Best mentor \xf0\x9f\x91\x8c\nAlex bilek : Gak semudah itu bambang\xf0\x9f\x8c\x9d\n\n#StartUpEp11 \n#StartUpEp10 #StartUp https://t.co/1fo7BQSbI2'
41,2020-11-22 02:02:28+00:00,"b'Dikirimin ini sm saudara pas dia nnton startup eps10 katanya ada pocong, apa iya itu pocong?? Masa dikorea ada pocong? #StartUpEp10 #StartUpEp11 https://t.co/3NKeX8xsYu'"
42,2020-11-22 01:31:57+00:00,b'Unpopular opinion about ep 10\nSebelum dihujat saya mau disclaimer saya adalah #teamhanjipyeong dari ep 1 ya gaes.\nIni review saya\n#StartUpEp10 https://t.co/vYMSWPogVf'
43,2020-11-21 20:00:49+00:00,b'#StartUpEp10 ga kuat banget liat Dosan nangis \xf0\x9f\x98\x9e \xf0\x9f\x98\xad'
44,2020-11-21 17:51:26+00:00,"b'Dibalik pengakuan Han Jinpyeong \xf0\x9f\x98\x84\xf0\x9f\x98\x82. \nBtw, setiap liat Kim Seon ho disini, w selalu bayangin sosok Nam Dareum \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3. \n#StartUp #StartUpEp10 https://t.co/A9W2kSXyiD'"
45,2020-11-21 17:28:04+00:00,"b'\xf0\x9f\x91\xa9: Tanpa rasa percaya diri, aku hanya mayat. \n\xf0\x9f\x91\xa8: ya, kau mayat, aku harus apa agar kau hidup lagi? \xf0\x9f\x98\xb3\xf0\x9f\x98\x9a\xf0\x9f\x98\x8d\n#StartUp #StartUpEp10 https://t.co/SfCGIQRWzo'"
46,2020-11-21 16:41:32+00:00,b'Mbak Saha adalah aku\nHan Ji Pyeong team \xf0\x9f\x92\x83\xf0\x9f\x92\x83\xf0\x9f\x92\x83\n#StartUpEp10 https://t.co/0NKxiesCyp'
47,2020-11-21 16:04:27+00:00,b'Galing ni Nam Do San sa #StartUpEp10 lakas maka Teh sa #ITSAY\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb'
48,2020-11-21 15:38:06+00:00,"b'Kung hindi sila sa dulo, ang sakit naman non.\xf0\x9f\x98\xa5 JEBAL. Hahahah \n#StartUpEp10 https://t.co/3UlCttQIST'"
49,2020-11-21 15:30:11+00:00,b'Napaka HUSAY ng #StartUpEp10'
50,2020-11-21 15:14:03+00:00,"b'Aku suka Jung Sa Ha, wkwk\n#StartUpEp10'"
51,2020-11-21 14:33:18+00:00,"b'Mbak Dalmi macak terdzolimi mergo dibohongi, padahal asline galaw pilih yg mana. Aelaah mbak~~ \xf0\x9f\x98\x89 #StartUpEp10'"
52,2020-11-21 14:18:36+00:00,"b'Kakanya Yongsan bunuh diri krna stress, perusahaannya ga bs bertahan di Sandbox. Dan mngkin Jipyeong ini slah satu investor disana yg nyecer prtanyaan sulit buat para pesertanya. Kebetulan jg mental kknya ini lgi ga stabil pas hari demo mkanya ga kuat, maybe\n#StartUp\n#StartUpEp10 https://t.co/MWtZzXE9dD'"
53,2020-11-21 14:15:17+00:00,b'Bias gw knp sadboi semua si ah \n#StartUpEp10 https://t.co/N0dfRr9kb6'
54,2020-11-21 14:00:53+00:00,b'NamJooHyuk \xf0\x9f\xa5\xba #StartUpEp10'
