Date,Tweet
2020-12-15 17:15:36+00:00,Awwwwwww akhirnya #StartUpEp16'
2020-01-05 00:43:01+00:00,"b""Don't miss hotel deals like these! Our price discovery engine works 24/7 to bring you the best hotel deals. Get FREE alerts now. https://t.co/3TyQ0ci8FT https://t.co/sNe7kutrxI"""
2020-12-15 13:11:00+00:00,Gaes penonton #StartUpEp16 #StartUpEp15 #startupep14 #StartUpEp9 episode berapa sih yg membuat kalian lebih semangat menjlani hidup... yg pesanny kek nyes banget.. soalny aku mau buat konten nih.... aku bingung..'
2020-12-15 02:58:45+00:00,Hayuu vaksin ya..\n\n#awalidengantaubat #StartUpEp16 #MaksiatSelaluBikinKehancuran #dingin\n#Dukungpemerintahatasicovid19\n#dukungkemajuanbangsa \n#dukungpemerintah\n#pemerintah #pandemi #InvestorPeduliNasibRakyat #Papua #PapuaNKRI #NKRI #2020Wrapped #SahabatBahari #pilkada2020 #COVID https://t.co/51ESRNFdRg'
2020-12-14 23:39:39+00:00,"b""Ya Rabbi... Stasiun berita bisa bahas drakor jga ternyata \xe2\x95\xa5\xef\xb9\x8f\xe2\x95\xa5\nPenting ya bahas kubu mana :') #petahanan atau #oposisi (?) \n\nApa kabar harga bahan pokok naik? (\xef\xbc\xb4\xe2\x96\xbd\xef\xbc\xb4) \n\n#XKWavers #demokrasiracuniperadaban #Xschool2021 #StartUpEp16 https://t.co/xVfHlYWzGP"""
2020-12-14 15:04:17+00:00,Akhirnya beres nonton #StartUpEp16 dan tetap istiqomah menjadi tim nam dosan \xf0\x9f\x99\x8f\xf0\x9f\x8f\xb
2020-12-14 11:37:27+00:00,"Bru abis cite Start Up smlm, ending tu aku mmg dh redha sngat2 dh.. Tpi satu prkara yg aku tak puas hati nya, si jeong sa-ha ckp nk ngaku yg chul san tu bf dia, tpi smpai akhir heret cite ckp nk buat.. Aku nk tngok jgak reaction kwan diorang cmne.. \n#StartUpEp16'"
2020-12-14 11:33:31+00:00,Baru bisa nonton endingnya skrg krna kemarin spoilernya jipyeong ttp jd sadboy jadi males nonton.\nTapi setelah nonton endingnya ternyata memuaskan sih. \nJipyeong bahagia dengan caranya sendiri walau tanpa dalmi \nAnak baik \xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0\n#StartUpEp16 https://t.co/zbKBNXpbJi'
2020-12-14 07:01:43+00:00,"Ternyata baju mereka sama ya wkwk\n#ThePenthouse \n#StartUp\n#TheKingEternalMonarch \n#ThePenthouseEp11\n#StartUpEp16\n#TheKingEternalMonarchEp15 \n\nAku selama ini overthinking habis liat start up ep 1, eh kok kek pernah liat bajunya in jae tp dimana ya?oh ternyata \xf0\x9f\xa4\xa3 https://t.co/k3BIL2IfPg'"
2020-12-14 04:09:36+00:00,Takleh move on lagi laaaaa \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x92\x95\xf0\x9f\x92\x9e\xf0\x9f\x92\x93\xf0\x9f\x92\x96\xf0\x9f\x92\x98\xf0\x9f\x92\x9d #StartUpEp16 #StartUp #KimSeonHo #Suzy #HanJiPyeong #SeoDalMi #NamDoSan #NamJooHyuk #KangHanNa https://t.co/xPfSJ8Zj2s'
2020-12-14 00:24:50+00:00,Tolooong..aku ga bisa ketawa sendirian liat ini \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\n#timjipyeong \n#StartUpEp16 \n#KimSeonHo \n#Jipyeong https://t.co/n6ebxp6xih'
2020-12-13 17:19:17+00:00,@YEOJlNGO \xe2\x98\x85 : kalo diinget masih aja bikin ketawa pas scene pertemuannya han timjangnim sama yeongsil wkwk. semoga jingoo sukses selalu ya! \n\n#YeoJingoo on #StartUpEp16 is real'
2020-12-13 17:17:51+00:00,@YEOJlNGO Mau coba kali aja hoki.\n\n#YeoJingoo on #StartUpEp16 is real\xf0\x9f\xa4\x97'
2020-12-13 14:01:32+00:00,Udah bisa move on dari #StartUpEp15 &amp;\n#StartUpEp16 kok.\n\nSekarang bermaksud mantengin #MrQueenEp1 nya #KimJungHyun &amp; #ShinHyeSun yg bikin \xf0\x9f\x98\x86\n\nTapi tadi ga sengaja nemu spoiler #StartUpEp17 \xf0\x9f\x98\xad\nKan jadi baper akutu.\n\nBaca ini deh\nhttps://t.co/NgxrzZWDH
2020-12-13 13:10:34+00:00,Jika tokoh drama #Startup investasi di aset crypto mereka pilih aset apa ya? \nYuk kita ulas! \n\n#StartUpEp16 #HanJiPyeong\n#SeoDalmi #NamDoSan https://t.co/aqTISFEKBy'
2020-12-13 08:34:47+00:00,Yeo jin-goo... omo. \n\n#StartUpEp16'
2020-12-13 06:38:04+00:00,Ji-pyeong ah \xf0\x9f\xa5\xba\n\n#StartUpEp16 https://t.co/6yTWeMO7Hi'
2020-12-13 05:33:26+00:00,Bangke ini #StartUpEp16 sampe ga sadar keluar air mata gara2 In-Jae balik lagi jd marga seo ketika nenek nya udh gabisa ngeliat dia.'
2020-12-12 15:42:44+00:00,Han ji pyeong menjalani masa tua ~\n#StartUpEp16 \n#StartUp\n#korea\n#sandbox \n#timhanjipyeong https://t.co/DioznxyNwU'
2020-12-12 15:18:33+00:00,YEEAAAYY AKU BERHASIL NAMATIN SEMUA INI . . . #sambilmewek #StartUpEp16 https://t.co/4okYzj1LxG'
2020-12-12 15:06:13+00:00,"Ya Tuhan baru abis marathon nonton #UncannyCounter \nBuagguss buanget\nGenre thriller fantasy,karakter\xc2\xb2nya unik,ada ahjussi rasa Oppa,ada God-Sejeong yg makin cool aktingnya\xf0\x9f\xa5\xb0\nAlur male leadnya mirip Peter Parker cm lebih mistis lol\nNgobatin bete #StartUpEp16 ku rekomen drama ini\xf0\x9f\x98\x8e https://t.co/8I281h5cos'"
2020-12-12 15:01:56+00:00,"Start up ; done\n\n#StartUpEp16\n#TeamGoodBoy jujur walaupun menyakitkan\n#TeamNamDoSan setiap kritikan orang, ubah jadi motivation. https://t.co/W9OMmZ5XL9'"
2020-12-12 14:39:25+00:00,Gak bisa move on sama kata kata si nenek \xf0\x9f\x98\xad #StartUpEp16 https://t.co/2l0jKDAsZ6'
2020-12-12 13:38:17+00:00,"#StartUp Endingnya sesuai banget ama ekspetasi, ter luvv ama #StartUpEp16 , krn biasanya kalo nonton aku tu selalu jadi pihak yang bertolak belakang ama orang2 /tokoh utamanya, jadi suka nyesek sendiri krn beda ama pendapat org org , tapi fixx start up tau banget selera aku \xf0\x9f\x92\x9b https://t.co/nqXRxCa2ZR'"
2020-12-13 17:00:01+00:00,Next year could be decisive for the world \xf0\x9f\x8c\x8f. 2020 has taught us that we need to work together for a stronger response and show that we can build back better.\n\nJoin in. Be the change.'
2020-12-15 13:11:00+00:00,Gaes penonton #StartUpEp16 #StartUpEp15 #startupep14 #StartUpEp9 episode berapa sih yg membuat kalian lebih semangat menjlani hidup... yg pesanny kek nyes banget.. soalny aku mau buat konten nih.... aku bingung..'
2020-12-15 11:30:05+00:00,Yeorobuuunn... ingat baik2 seperti ini jwbnnya yaa kalau ditanya doi hehehhe Kalau hbs jwb gini trus doi lgsg nyipok berarti doi jg nonton #StartUpEp15 \xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/Zxp8Lmcf2W'
2020-12-13 16:25:06+00:00,korban #StartUpEp15 https://t.co/XyXwUR52FN'
2020-12-13 14:01:32+00:00,Udah bisa move on dari #StartUpEp15 &amp;\n#StartUpEp16 kok.\n\nSekarang bermaksud mantengin #MrQueenEp1 nya #KimJungHyun &amp; #ShinHyeSun yg bikin \xf0\x9f\x98\x86\n\nTapi tadi ga sengaja nemu spoiler #StartUpEp17 \xf0\x9f\x98\xad\nKan jadi baper akutu.\n\nBaca ini deh\nhttps://t.co/NgxrzZWDH
