,Date,Tweet
0,2020-12-14 04:54:36+00:00,b'drakoran sambil ngemi itu kenikmatan tiada tara sumpah #startup #startupep12'
1,2020-12-13 17:00:01+00:00,b'Next year could be decisive for the world \xf0\x9f\x8c\x8f. 2020 has taught us that we need to work together for a stronger response and show that we can build back better.\n\nJoin in. Be the change.'
2,2020-12-13 07:50:28+00:00,b'Tula xmo sgt plan B. Konon nak jadi hero haktuuihhhhh #startupep12'
3,2020-12-13 07:49:00+00:00,b'Pehal Dosan ni nak emo gi belasah Jipyeong tu plak. Klu dah geram n  tgn 2STO tu gi la belasah Alex\xf0\x9f\x98\x92\xf0\x9f\x98\x92\xf0\x9f\x98\x92 #startupep12'
4,2020-12-12 15:49:40+00:00,b'Nonton #StartUpEp12 emosi bgt anjimm. Pen peluk jipyeong\xf0\x9f\x98\xad'
5,2020-12-11 16:55:36+00:00,b'awww Ji Pyeong \xf0\x9f\xa5\xba\xf0\x9f\x98\xad\n\n#StartUpEp12'
6,2020-12-11 04:03:27+00:00,b'Menghapus kesedihanmu ~ #startupep12 #KimSeonho https://t.co/0srWaDDlY9'
7,2020-12-09 05:27:49+00:00,"b'Berjalan tanpa tujuan terkadang menyenangkan, berlayar tanpa peta itu mengagumkan. ~seodalmi #StartUpEp12'"
8,2020-12-07 16:01:42+00:00,"b'Cite korea ni knp byk scene lelaki nangis, romantik yang tidak2 jer... #StartUp #StartUpEp12'"
9,2020-12-07 07:11:09+00:00,b'Eps 12 menguras air mata bgt\xf0\x9f\x98\xad\xf0\x9f\x98\xad #startupep12'
10,2020-12-07 01:05:46+00:00,"b'Smpe skrg blom nntn #StartUpEp12 , #StartUpEp15 #StartUpEp16 pke subtitle ashshsh'"
11,2020-12-06 18:56:29+00:00,"b'Sama,  aku juga kadang  berlagak sok pintar padahal aku hanya sampah bodoh yang tidak tahu apa-apa \xf0\x9f\xa5\xba\n#startupep12 #hanjipyeong https://t.co/bJmZKJMjNY'"
12,2020-12-06 16:42:37+00:00,b'Keputusan yang tepat berhenti di #startUpEp12 \xf0\x9f\x99\x83 bukannya tim Jipyeong garis keras tapi maaf menurut ogut filmnya sangat tidak realistis \xf0\x9f\x98\x8c oh yah kan cuma drama. \n\nPadahal nonton itu berharap lebih banyak cerita tentang bisnisnya bukan percintaan. Bye.'
